,Rank_spotify,Change_spotify,Country,Artist,Monthly Listeners Change,Internal Link_spotify,Peak Position_spotify,Peak Date_spotify,Total Weeks on Chart,Current Weekly Streak,Chart Date_spotify,Rank_tiktok,Change_tiktok,Track,Internal Link_tiktok,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position_tiktok,Peak Date_tiktok,Time on Chart,7-Day Velocity,ISRC,Chart Date_tiktok,Release to Chart Time
120935,169,-377.0,United States,Cico P,274K,/artist?id=3368607,169,2021-04-29,2,2,2021-04-29,115,New,Tampa,/track?id=34976242,https://www.tiktok.com/music/null,"TuneCore, Inc.",2021-01-02,183,45100,68710,93,2021-05-01,3,0.0,TCAFI2144005,2021-04-25,113
120844,64,,United States,StarBoi3,575K,/artist?id=1009640,64,2021-04-29,1,1,2021-04-29,72,New,Dick (feat. Doja Cat),/track?id=34704193,https://www.tiktok.com/music/Dick-6942827004304328705,Sony Music Entertainment,2021-03-28,154,64250,146310,8,2021-05-08,18,0.0,USRC12100749,2021-04-25,28
112758,857,,Unknown,SyKo,79K,/artist?id=3799531,857,2021-04-29,1,1,2021-04-29,165,New,#BrooklynBloodPop!,/track?id=30729227,https://www.tiktok.com/music/BrooklynBloodPop-#BrooklynBloodPop!-6960470864949201669,DistroKid,2020-07-28,197,32270,43870,7,2021-06-05,32,0.0,QZK6Q2049800,2021-04-25,271
70828,26,-156.0,United Kingdom,ArrDee,1M,/artist?id=3986858,26,2021-05-06,2,2,2021-05-06,183,New,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",/track?id=34708919,https://www.tiktok.com/music/Body-feat-blurryb-Remix-Body-(feat.-blurryb)---Remix-6976794344841824258,Warner Music Group,2021-04-20,197,28260,30970,5,2021-05-08,8,0.0,GBAHS2100229,2021-05-02,12
118923,24,,United Kingdom,Buni,1M,/artist?id=912721,24,2021-05-06,1,1,2021-05-06,183,New,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",/track?id=34708919,https://www.tiktok.com/music/Body-feat-blurryb-Remix-Body-(feat.-blurryb)---Remix-6976794344841824258,Warner Music Group,2021-04-20,197,28260,30970,5,2021-05-08,8,0.0,GBAHS2100229,2021-05-02,12
120930,88,-81.0,United States,Cico P,503K,/artist?id=3368607,88,2021-05-06,3,3,2021-05-06,93,22,Tampa,/track?id=34976242,https://www.tiktok.com/music/null,"TuneCore, Inc.",2021-01-02,153,54900,123610,93,2021-05-01,3,3.14,TCAFI2144005,2021-05-02,113
118599,21,,Unknown,E1 (3x3),1M,/artist?id=3749089,21,2021-05-06,1,1,2021-05-06,183,New,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",/track?id=34708919,https://www.tiktok.com/music/Body-feat-blurryb-Remix-Body-(feat.-blurryb)---Remix-6976794344841824258,Warner Music Group,2021-04-20,197,28260,30970,5,2021-05-08,8,0.0,GBAHS2100229,2021-05-02,12
121329,372,36.0,United States,Loui,155K,/artist?id=3443703,84,2021-04-22,3,3,2021-05-06,89,New,Talkin' Bout (feat. Saweetie),/track?id=34463343,https://www.tiktok.com/music/TalkinBout-feat-Saweetie-6951840661985397509,Warner Music Group,2021-04-15,183,55870,57420,18,2021-05-08,12,0.0,USWB12101088,2021-05-02,17
121301,427,,Unknown,Midi Blosso,140K,/artist?id=4513223,427,2021-05-06,1,1,2021-05-06,74,25,Touch It (Gun Boosted),/track?id=34491461,https://www.tiktok.com/music/Touch-It-Gun-Boosted-Touch-It-(Gun-Boosted)-6951467732084754434,Music and Entertainment Rights Licensing Independent Network BV,2021-04-14,151,61830,127570,74,2021-05-01,3,3.57,CAENV2106271,2021-05-02,11
120831,34,-30.0,United States,StarBoi3,975K,/artist?id=1009640,34,2021-05-06,2,2,2021-05-06,9,63,Dick (feat. Doja Cat),/track?id=34704193,https://www.tiktok.com/music/Dick-6942827004304328705,Sony Music Entertainment,2021-03-28,99,252410,398720,8,2021-05-08,18,9.0,USRC12100749,2021-05-02,28
