,Rank_spotify,Change_spotify,Country,Artist,Monthly Listeners Change,Internal Link_spotify,Peak Position_spotify,Peak Date_spotify,Total Weeks on Chart,Current Weekly Streak,Chart Date_spotify,Rank_tiktok,Change_tiktok,Track,Internal Link_tiktok,External Link,Label,Release Date,All Time Rank,Video Count,All-Time Video Count,Peak Position_tiktok,Peak Date_tiktok,Time on Chart,7-Day Velocity,ISRC,Chart Date_tiktok,Release to Chart Time
122047,662,,Japan,Momoiro Clover Z,96K,/artist?id=293079,662,2021-04-29,1,1,2021-04-29,75,New,Nippon Egao Hyakkei -ZZver.- / ニッポン笑顔百景 -ZZ ver.-,/track?id=42649572,https://www.tiktok.com/music/null,キングレコード株式会社,2021-04-15,186,62280,64209,36,2021-05-01,4,0.0,JPKI02111473,2021-04-25,10
122044,777,115.0,Japan,Momoiro Clover Z,79K,/artist?id=293079,662,2021-04-29,2,2,2021-05-06,36,39,Nippon Egao Hyakkei -ZZver.- / ニッポン笑顔百景 -ZZ ver.-,/track?id=42649572,https://www.tiktok.com/music/null,キングレコード株式会社,2021-04-15,147,92650,156860,36,2021-05-01,4,5.57,JPKI02111473,2021-05-02,10
122112,997,,Japan,Momokurotei Ichimon,64K,/artist?id=1420753,997,2021-05-06,1,1,2021-05-06,36,39,Nippon Egao Hyakkei -ZZver.- / ニッポン笑顔百景 -ZZ ver.-,/track?id=42649572,https://www.tiktok.com/music/null,キングレコード株式会社,2021-04-15,147,92650,156860,36,2021-05-01,4,5.57,JPKI02111473,2021-05-02,10
110232,45,16.0,United States,Bo Burnham,710K,/artist?id=163998,24,2021-06-17,4,4,2021-07-01,172,New,All Eyes On Me,/track?id=48630622,https://www.tiktok.com/music/All-Eyes-On-Me-6968346828379015942,Universal Music Group,2021-06-08,194,38170,58250,103,2021-07-03,3,0.0,USA2P2122078,2021-06-27,19
110592,23,-22.0,United States,Bo Burnham,1M,/artist?id=163998,23,2021-07-08,5,5,2021-07-08,42,New,Welcome to the Internet,/track?id=48630625,https://www.tiktok.com/music/Welcome-to-the-Internet-6979788797013657602,Universal Music Group,2021-06-08,156,101110,151240,36,2021-07-10,5,0.0,USA2P2122073,2021-07-04,19
110593,23,-22.0,United States,Bo Burnham,1M,/artist?id=163998,23,2021-07-08,5,5,2021-07-08,103,69,All Eyes On Me,/track?id=48630622,https://www.tiktok.com/music/All-Eyes-On-Me-6968346828379015942,Universal Music Group,2021-06-08,174,52340,110590,103,2021-07-03,3,9.86,USA2P2122078,2021-07-04,19
110594,23,-22.0,United States,Bo Burnham,1M,/artist?id=163998,23,2021-07-08,5,5,2021-07-08,116,New,Bezos I,/track?id=48630663,https://www.tiktok.com/music/Bezos-I-Bezos-I-6980952307257199362,Universal Music Group,2021-06-08,190,48930,55570,4,2021-07-24,11,0.0,USA2P2122060,2021-07-04,19
110205,49,26.0,United States,Bo Burnham,600K,/artist?id=163998,23,2021-07-08,6,6,2021-07-15,36,6,Welcome to the Internet,/track?id=48630625,https://www.tiktok.com/music/Welcome-to-the-Internet-6979788797013657602,Universal Music Group,2021-06-08,131,111720,262960,36,2021-07-10,5,0.86,USA2P2122073,2021-07-11,19
110206,49,26.0,United States,Bo Burnham,600K,/artist?id=163998,23,2021-07-08,6,6,2021-07-15,39,77,Bezos I,/track?id=48630663,https://www.tiktok.com/music/Bezos-I-Bezos-I-6980952307257199362,Universal Music Group,2021-06-08,159,105610,161180,4,2021-07-24,11,11.0,USA2P2122060,2021-07-11,19
110207,49,26.0,United States,Bo Burnham,600K,/artist?id=163998,23,2021-07-08,6,6,2021-07-15,123,-20,All Eyes On Me,/track?id=48630622,https://www.tiktok.com/music/All-Eyes-On-Me-6968346828379015942,Universal Music Group,2021-06-08,162,43270,153850,103,2021-07-03,3,-2.86,USA2P2122078,2021-07-11,19
